Timestamp,mempool-size
2017-04-26 02:30:00,32021248.223958332
2017-04-28 11:15:00,36655079.885416664
2017-04-30 20:00:00,16390050.177083334
2017-05-03 04:45:00,30326779.479166668
2017-05-05 13:30:00,64112973.723958336
2017-05-07 22:15:00,58133311.489583336
2017-05-10 07:00:00,64922998.484375
2017-05-12 15:45:00,111742143.109375
2017-05-15 00:30:00,92896522.46354167
2017-05-17 09:15:00,104150937.609375
2017-05-19 18:00:00,91071494.91666667
2017-05-22 02:45:00,101336190.515625
2017-05-24 11:30:00,108429496.00520833
2017-05-26 20:15:00,107973363.02604167
2017-05-29 05:00:00,95985110.5625
2017-05-31 13:45:00,102184978.89583333
2017-06-02 22:30:00,100797362.57291667
2017-06-05 07:15:00,75949486.71354167
2017-06-07 16:00:00,72365989.31770833
2017-06-10 00:45:00,54663460.239583336
2017-06-12 09:30:00,43809910.854166664
2017-06-14 18:15:00,59495952.645833336
2017-06-17 03:00:00,46438500.317708336
2017-06-19 11:45:00,19895842.541666668
2017-06-21 20:30:00,26440701.3125
2017-06-24 05:15:00,14839509.354166666
2017-06-26 14:00:00,14958078.619791666
2017-06-28 22:45:00,15874042.5625
2017-07-01 07:30:00,15754710.515625
2017-07-03 16:15:00,4102338.171875
2017-07-06 01:00:00,10737787.541666666
2017-07-08 09:45:00,15063513.020833334
2017-07-10 18:30:00,5173193.0
2017-07-13 03:15:00,17714848.916666668
2017-07-15 12:00:00,35208700.380208336
2017-07-17 20:45:00,31290210.234375
2017-07-20 05:30:00,32251376.255208332
2017-07-22 14:15:00,28122561.171875
2017-07-24 23:00:00,13727424.921875
2017-07-27 07:45:00,16730864.786458334
2017-07-29 16:30:00,4483216.953125
2017-08-01 01:15:00,5710166.71875
2017-08-03 10:00:00,9868427.4375
2017-08-05 18:45:00,13867210.411458334
2017-08-08 03:30:00,33281143.989583332
2017-08-10 12:15:00,43435315.421875
2017-08-12 21:00:00,29747657.890625
2017-08-15 05:45:00,43583978.473958336
2017-08-17 14:30:00,56385003.390625
2017-08-19 23:15:00,48401577.265625
2017-08-22 08:00:00,66337200.932291664
2017-08-24 16:45:00,74115307.13541667
2017-08-27 01:30:00,98051270.46354167
2017-08-29 10:15:00,66329349.052083336
2017-08-31 19:00:00,20494530.578125
2017-09-03 03:45:00,6922750.963541667
2017-09-05 12:30:00,8628687.229166666
2017-09-07 21:15:00,6498203.796875
2017-09-10 06:00:00,6080409.161458333
2017-09-12 14:45:00,7519161.791666667
2017-09-14 23:30:00,10924291.317708334
2017-09-17 08:15:00,4452383.817708333
2017-09-19 17:00:00,15618829.838541666
2017-09-22 01:45:00,5624089.552083333
2017-09-24 10:30:00,4768629.364583333
2017-09-26 19:15:00,11653186.604166666
2017-09-29 04:00:00,7320639.28125
2017-10-01 12:45:00,10009778.567708334
2017-10-03 21:30:00,11160322.828125
2017-10-06 06:15:00,13060801.015625
2017-10-08 15:00:00,8467383.84375
2017-10-10 23:45:00,10764640.635416666
2017-10-13 08:30:00,20506281.776041668
2017-10-15 17:15:00,15557261.109375
2017-10-18 02:00:00,10266421.630208334
2017-10-20 10:45:00,26179944.432291668
2017-10-22 19:30:00,38017068.3125
2017-10-25 04:15:00,42058831.666666664
2017-10-27 13:00:00,15795805.8125
2017-10-29 21:45:00,29583053.671875
2017-11-01 06:30:00,31253982.296875
2017-11-03 15:15:00,51812942.833333336
2017-11-06 00:00:00,43017789.010416664
2017-11-08 08:45:00,45212727.265625
2017-11-10 17:30:00,68985410.28125
2017-11-13 02:15:00,98598850.00520833
2017-11-15 11:00:00,102330359.86458333
2017-11-17 19:45:00,91747315.48958333
2017-11-20 04:30:00,63010605.921875
2017-11-22 13:15:00,68157498.69791667
2017-11-24 22:00:00,67817909.36979167
2017-11-27 06:45:00,61439210.046875
2017-11-29 15:30:00,88271629.88541667
2017-12-02 00:15:00,98261722.58333333
2017-12-04 09:00:00,81000121.22395833
2017-12-06 17:45:00,93792876.6875
2017-12-09 02:30:00,86189607.26041667
2017-12-11 11:15:00,97128428.53125
2017-12-13 20:00:00,114689001.38020833
2017-12-16 04:45:00,106681661.30208333
2017-12-18 13:30:00,114598524.30208333
2017-12-20 22:15:00,104989813.43229167
2017-12-23 07:00:00,105145090.609375
2017-12-25 15:45:00,118575897.46875
2017-12-28 00:30:00,114297297.09375
2017-12-30 09:15:00,111297490.41666667
2018-01-01 18:00:00,113412669.78125
2018-01-04 02:45:00,115193886.21354167
2018-01-06 11:30:00,103557253.203125
2018-01-08 20:15:00,110860839.71354167
2018-01-11 05:00:00,135496286.078125
2018-01-13 13:45:00,131059321.53125
2018-01-15 22:30:00,122168504.13541667
2018-01-18 07:15:00,118298417.09895833
2018-01-20 16:00:00,99504119.140625
2018-01-23 00:45:00,127189574.828125
2018-01-25 09:30:00,119836177.41666667
2018-01-27 18:15:00,85962716.890625
2018-01-30 03:00:00,54668583.932291664
2018-02-01 11:45:00,51906551.328125
2018-02-03 20:30:00,46358930.671875
2018-02-06 05:15:00,17555108.807291668
2018-02-08 14:00:00,23927256.104166668
2018-02-10 22:45:00,33979106.026041664
2018-02-13 07:30:00,20374790.21875
2018-02-15 16:15:00,29205123.166666668
2018-02-18 01:00:00,34766347.213541664
2018-02-20 09:45:00,24792977.885416668
2018-02-22 18:30:00,10477722.359375
2018-02-25 03:15:00,61890166.8125
2018-02-27 12:00:00,70937992.88020833
2018-03-01 20:45:00,35037476.15625
2018-03-04 05:30:00,32815673.432291668
2018-03-06 14:15:00,24055766.244791668
2018-03-08 23:00:00,20333054.984375
2018-03-11 07:45:00,13543839.6875
2018-03-13 16:30:00,3963103.5
2018-03-16 01:15:00,1261893.2760416667
2018-03-18 10:00:00,620530.21875
2018-03-20 18:45:00,1683545.0520833333
2018-03-23 03:30:00,1184114.234375
2018-03-25 12:15:00,635963.1197916666
2018-03-27 21:00:00,3066363.5052083335
2018-03-30 05:45:00,833502.9375
2018-04-01 14:30:00,1062252.515625
2018-04-03 23:15:00,1090869.234375
2018-04-06 08:00:00,790414.1979166666
2018-04-08 16:45:00,525425.1197916666
2018-04-11 01:30:00,783007.3177083334
2018-04-13 10:15:00,3075462.7708333335
2018-04-15 19:00:00,11060177.427083334
2018-04-18 03:45:00,2162994.5
2018-04-20 12:30:00,1234311.4635416667
2018-04-22 21:15:00,653045.9583333334
2018-04-25 06:00:00,1908461.7083333333
2018-04-27 14:45:00,2047297.5885416667
2018-04-29 23:30:00,824998.7604166666
2018-05-02 08:15:00,1011590.140625
2018-05-04 17:00:00,5104944.890625
2018-05-07 01:45:00,1504319.3489583333
